epoch,lr-AdamW,step,train_loss_epoch,train_loss_step,train_r2_epoch,train_r2_step,train_rmse_epoch,train_rmse_step,val_loss,val_r2,val_rmse
,0.001,0,,,,,,,,,
0,,9,,683.951416015625,,-7.738381385803223,,25.825584411621094,,,
0,,19,,746.0691528320312,,-9.214954376220703,,27.042842864990234,,,
0,,29,,788.4013061523438,,-7.241806507110596,,27.79985809326172,,,
0,,39,,707.97802734375,,-7.888701915740967,,26.32845115661621,,,
0,,49,,764.0635986328125,,-8.1908597946167,,27.36516761779785,,,
0,,59,,671.5921630859375,,-5.3194427490234375,,25.55905532836914,,,
0,,69,,684.9407348632812,,-8.773093223571777,,25.877216339111328,,,
0,,73,,,,,,,699.4910888671875,-7.198495864868164,26.161304473876953
0,,73,726.0582275390625,,-7.2396135330200195,,26.640914916992188,,,,
,0.001,74,,,,,,,,,
1,,79,,830.696044921875,,-9.916563034057617,,28.526836395263672,,,
1,,89,,664.53173828125,,-6.776423931121826,,25.482952117919922,,,
1,,99,,778.598388671875,,-7.308648109436035,,27.626026153564453,,,
1,,109,,684.3004150390625,,-7.251773834228516,,25.91169548034668,,,
1,,119,,624.8809204101562,,-5.433615684509277,,24.71784210205078,,,
1,,129,,852.0565185546875,,-8.480615615844727,,28.884662628173828,,,
1,,139,,688.3859252929688,,-6.403774738311768,,25.954795837402344,,,
1,,147,,,,,,,653.1343994140625,-6.631475925445557,25.26038360595703
1,,147,696.5155029296875,,-6.892247200012207,,26.085163116455078,,,,
,0.001,148,,,,,,,,,
2,,149,,630.48095703125,,-6.730532646179199,,24.813812255859375,,,
2,,159,,670.4364624023438,,-5.702353477478027,,25.603015899658203,,,
2,,169,,689.2499389648438,,-7.230374813079834,,25.942703247070312,,,
2,,179,,703.1134033203125,,-6.026292324066162,,26.253822326660156,,,
2,,189,,658.8038330078125,,-8.155945777893066,,25.421463012695312,,,
2,,199,,688.7389526367188,,-4.605718612670898,,25.94013786315918,,,
2,,209,,613.7894287109375,,-6.464333534240723,,24.545629501342773,,,
2,,219,,626.266357421875,,-5.986006736755371,,24.78428840637207,,,
2,,221,,,,,,,605.3367309570312,-6.0499677658081055,24.29599380493164
2,,221,655.0313110351562,,-6.390985012054443,,25.281389236450195,,,,
,0.001,222,,,,,,,,,
3,,229,,637.1069946289062,,-5.521112442016602,,24.957958221435547,,,
3,,239,,656.3577880859375,,-6.566599369049072,,25.297439575195312,,,
3,,249,,688.21142578125,,-6.956047534942627,,25.964263916015625,,,
3,,259,,597.591796875,,-7.365811347961426,,24.11443328857422,,,
3,,269,,752.190185546875,,-5.464937210083008,,27.082786560058594,,,
3,,279,,685.8359375,,-5.44561767578125,,25.85232925415039,,,
3,,289,,498.72998046875,,-5.510398864746094,,22.069717407226562,,,
3,,295,,,,,,,574.47998046875,-5.684472560882568,23.658506393432617
3,,295,603.6181030273438,,-5.7717108726501465,,24.244741439819336,,,,
,0.001,296,,,,,,,,,
4,,299,,465.85601806640625,,-4.212149143218994,,21.325429916381836,,,
4,,309,,514.0004272460938,,-4.234958171844482,,22.359153747558594,,,
4,,319,,598.8790283203125,,-5.674384117126465,,24.141265869140625,,,
4,,329,,572.3299560546875,,-4.970181465148926,,23.615245819091797,,,
4,,339,,561.9432983398438,,-6.539525985717773,,23.408222198486328,,,
4,,349,,457.22344970703125,,-5.223896026611328,,21.093666076660156,,,
4,,359,,537.6309204101562,,-5.372358322143555,,22.839099884033203,,,
4,,369,,601.6361083984375,,-4.59367561340332,,24.188922882080078,,,
4,,369,,,,,,,489.40106201171875,-4.657046318054199,21.79176139831543
4,,369,540.89306640625,,-5.045434474945068,,22.915935516357422,,,,
,0.001,370,,,,,,,,,
5,,379,,542.0643310546875,,-5.1927995681762695,,22.891658782958984,,,
5,,389,,456.8631896972656,,-3.7928574085235596,,21.037269592285156,,,
5,,399,,466.86102294921875,,-4.985622406005859,,21.30038070678711,,,
5,,409,,447.19769287109375,,-4.649881839752197,,20.818424224853516,,,
5,,419,,517.683349609375,,-4.495520114898682,,22.354557037353516,,,
5,,429,,522.9318237304688,,-4.036236763000488,,22.480743408203125,,,
5,,439,,464.81317138671875,,-3.6176915168762207,,21.2027530670166,,,
5,,443,,,,,,,413.27587890625,-3.7460451126098633,19.97831153869629
5,,443,466.2737731933594,,-4.176236152648926,,21.23168182373047,,,,
,0.001,444,,,,,,,,,
6,,449,,418.79022216796875,,-3.067105293273926,,20.038105010986328,,,
6,,459,,460.8363037109375,,-4.923658847808838,,21.102767944335938,,,
6,,469,,389.1934509277344,,-3.6443228721618652,,19.42716407775879,,,
6,,479,,434.39581298828125,,-2.9127373695373535,,20.534244537353516,,,
6,,489,,290.90545654296875,,-3.039252519607544,,16.682058334350586,,,
6,,499,,335.4115295410156,,-4.494024276733398,,18.002033233642578,,,
6,,509,,375.8685302734375,,-3.2814764976501465,,18.98483657836914,,,
6,,517,,,,,,,334.8194274902344,-2.80464768409729,17.9191837310791
